feature,importance
is_weekend,0.58504313
day_of_week,0.10199754
sales_3day_avg,0.10154017
student_weekend_interaction,0.024660768
sales_lag_1,0.023181532
waste_lag_1,0.010017045
hostel_open,0.008893301
canteen_capacity,0.0076077557
is_monsoon,0.007515274
item_popularity_rank,0.007502226
feels_like_temp,0.007383138
is_summer,0.007362479
rain_temp_interaction,0.0071579274
student_count,0.0070669246
temp_humidity_interaction,0.0070130173
is_winter,0.0070104687
is_exam_period,0.0069174785
sales_lag_7,0.00665665
humidity,0.0065105106
rainfall,0.0062517086
is_festival,0.0062125833
sales_same_day_prev_week,0.005993329
temperature,0.005953226
is_exam_week,0.005892268
staff_available,0.005874588
item_id_encoded,0.005709632
day_of_year,0.0052534365
week_of_year,0.0050193863
month,0.00347675
event_today,0.0033256325
