episode,reward,epsilon
1,-14335731,0.02562548094765099
2,-13734952,0.00998645168764533
3,-13331314,0.00998645168764533
4,-13370026,0.00998645168764533
5,-13048918,0.00998645168764533
6,-12919202,0.00998645168764533
7,-12759206,0.00998645168764533
8,-12379569,0.00998645168764533
9,-12112049,0.00998645168764533
10,-11871806,0.00998645168764533
11,-11815395,0.00998645168764533
12,-12075080,0.00998645168764533
13,-12201757,0.00998645168764533
14,-12109752,0.00998645168764533
15,-11795668,0.00998645168764533
16,-11757761,0.00998645168764533
17,-12035857,0.00998645168764533
18,-11969318,0.00998645168764533
19,-11965684,0.00998645168764533
20,-11769228,0.00998645168764533
21,-11935863,0.00998645168764533
22,-12019499,0.00998645168764533
23,-11579314,0.00998645168764533
24,-11985543,0.00998645168764533
25,-11793351,0.00998645168764533
26,-11863556,0.00998645168764533
27,-11987199,0.00998645168764533
28,-11614253,0.00998645168764533
29,-11587328,0.00998645168764533
30,-12035574,0.00998645168764533
31,-11712358,0.00998645168764533
32,-11501879,0.00998645168764533
33,-11449642,0.00998645168764533
34,-11240051,0.00998645168764533
35,-11406121,0.00998645168764533
36,-11441628,0.00998645168764533
37,-11555425,0.00998645168764533
38,-11363533,0.00998645168764533
39,-11144603,0.00998645168764533
40,-11105176,0.00998645168764533
41,-11086663,0.00998645168764533
42,-11191416,0.00998645168764533
43,-11249875,0.00998645168764533
44,-11263154,0.00998645168764533
45,-10640560,0.00998645168764533
46,-10678269,0.00998645168764533
47,-10782481,0.00998645168764533
48,-10867701,0.00998645168764533
49,-10973362,0.00998645168764533
50,-11265845,0.00998645168764533
51,-11197757,0.00998645168764533
52,-11231027,0.00998645168764533
53,-11361344,0.00998645168764533
54,-11194234,0.00998645168764533
55,-10982048,0.00998645168764533
56,-10909097,0.00998645168764533
57,-10887267,0.00998645168764533
58,-10803929,0.00998645168764533
59,-10804735,0.00998645168764533
60,-11068245,0.00998645168764533
61,-11295567,0.00998645168764533
62,-11386260,0.00998645168764533
63,-10839937,0.00998645168764533
64,-10591479,0.00998645168764533
65,-10728167,0.00998645168764533
66,-10666749,0.00998645168764533
67,-10650834,0.00998645168764533
68,-10624024,0.00998645168764533
69,-10632031,0.00998645168764533
70,-10999569,0.00998645168764533
71,-10886804,0.00998645168764533
72,-10588916,0.00998645168764533
73,-10779534,0.00998645168764533
74,-10826777,0.00998645168764533
75,-10923893,0.00998645168764533
76,-10844414,0.00998645168764533
77,-10990851,0.00998645168764533
78,-10910452,0.00998645168764533
79,-10817538,0.00998645168764533
80,-10775082,0.00998645168764533
81,-10500516,0.00998645168764533
82,-10771168,0.00998645168764533
83,-10704263,0.00998645168764533
84,-10621069,0.00998645168764533
85,-10545529,0.00998645168764533
86,-10648833,0.00998645168764533
87,-10590898,0.00998645168764533
88,-10674534,0.00998645168764533
89,-11004352,0.00998645168764533
90,-10776626,0.00998645168764533
91,-10778028,0.00998645168764533
92,-10753945,0.00998645168764533
93,-10812027,0.00998645168764533
94,-10685115,0.00998645168764533
95,-10752791,0.00998645168764533
96,-10944654,0.00998645168764533
97,-10534680,0.00998645168764533
98,-10351493,0.00998645168764533
99,-10333070,0.00998645168764533
100,-10369215,0.00998645168764533
101,-10483801,0.00998645168764533
102,-10311694,0.00998645168764533
103,-10598918,0.00998645168764533
104,-10435056,0.00998645168764533
105,-10765558,0.00998645168764533
106,-10592335,0.00998645168764533
107,-10428189,0.00998645168764533
108,-10649185,0.00998645168764533
109,-10670177,0.00998645168764533
110,-10676010,0.00998645168764533
111,-10992437,0.00998645168764533
112,-11055011,0.00998645168764533
113,-11104776,0.00998645168764533
114,-10943480,0.00998645168764533
115,-10763036,0.00998645168764533
116,-10882834,0.00998645168764533
117,-11371864,0.00998645168764533
118,-11160548,0.00998645168764533
119,-10980629,0.00998645168764533
120,-10522925,0.00998645168764533
121,-10586204,0.00998645168764533
122,-10819455,0.00998645168764533
123,-10858360,0.00998645168764533
124,-10623276,0.00998645168764533
125,-10869871,0.00998645168764533
126,-10938428,0.00998645168764533
127,-10765420,0.00998645168764533
128,-10617327,0.00998645168764533
129,-10987618,0.00998645168764533
130,-10872464,0.00998645168764533
131,-10897294,0.00998645168764533
132,-10860042,0.00998645168764533
133,-10832223,0.00998645168764533
134,-10654020,0.00998645168764533
135,-10769466,0.00998645168764533
136,-10548179,0.00998645168764533
137,-10467391,0.00998645168764533
138,-10853885,0.00998645168764533
139,-10951270,0.00998645168764533
140,-10780937,0.00998645168764533
141,-10682011,0.00998645168764533
142,-10820241,0.00998645168764533
143,-10762186,0.00998645168764533
144,-10694592,0.00998645168764533
145,-10680032,0.00998645168764533
146,-11110555,0.00998645168764533
147,-10713417,0.00998645168764533
148,-10639769,0.00998645168764533
149,-10781832,0.00998645168764533
150,-10544002,0.00998645168764533
